Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-31,110.383552135519,111.99194096311092,110.17916966760563,111.85865020751953,3738822,0.0,0.0
2021-01-04,111.83199444670215,111.89419349051221,109.33499110487418,110.1347427368164,5417443,0.0,0.0
2021-01-05,111.0855570534935,112.56954072632357,110.73011266920733,112.08969116210938,6395872,0.0,0.0
2021-01-06,112.7650291731649,117.19032312693723,112.60507460277954,114.8888168334961,8322708,0.0,0.0
2021-01-07,115.55527287366327,115.9284954843684,113.97354084112374,114.62223052978516,4714740,0.0,0.0
2021-01-08,114.24902039909676,114.91548127371269,112.83612135930707,114.2134780883789,4891305,0.0,0.0
2021-01-11,113.69807721114191,115.23538140399941,113.44038127989154,114.25790405273438,5859587,0.0,0.0
2021-01-12,114.71109211787318,115.3864385308037,113.68918692131587,114.8177261352539,3921663,0.0,0.0
2021-01-13,114.76441074723255,115.2975808581381,112.37404146288301,112.78280639648438,8030874,0.0,0.0
2021-01-14,113.76027459999115,115.6619015082698,113.34262412242542,114.60445404052734,7848347,0.0,0.0
2021-01-15,113.99131711214488,114.8443821544576,113.44926145144161,114.08906555175781,5131153,0.0,0.0
2021-01-19,114.87993447145206,115.1554086600779,113.82248688068009,114.64889526367188,5646308,0.0,0.0
2021-01-20,115.25315471511618,116.46166419620725,114.2401350347811,115.59082794189453,5856240,0.0,0.0
2021-01-21,115.62636065393507,117.51022352363634,115.56416161522611,116.9859390258789,13116003,0.0,0.0
2021-01-22,107.25562903297536,107.25562903297536,104.28766176760992,105.39842987060547,39814421,0.0,0.0
2021-01-25,105.5317202521453,106.22483784402158,104.36763868820765,105.37177276611328,14315974,0.0,0.0
2021-01-26,105.90493432984454,108.93510767700896,105.22958790217346,108.84624481201172,11186656,0.0,0.0
2021-01-27,108.48191715364959,110.89005758805585,108.07315222090823,108.82847595214844,12705239,0.0,0.0
2021-01-28,109.12172214838584,109.4771665272386,106.69580344826579,106.7046890258789,8455969,0.0,0.0
2021-01-29,106.82909110854534,107.78879728593877,105.65612398317357,105.84273529052734,12369473,0.0,0.0
2021-02-01,106.5447366980581,107.47777903659743,105.50506034156209,107.11344909667969,6538023,0.0,0.0
2021-02-02,106.06487882785135,107.52220556444038,105.99378712431954,106.1359634399414,6633627,0.0,0.0
2021-02-03,105.78052419880662,106.45587059483262,104.96300148031256,105.85161590576172,7024308,0.0,0.0
2021-02-04,106.55362275902138,107.61107027473727,105.62946599349591,107.53998565673828,4771957,0.0,0.0
2021-02-05,107.52220952756959,108.24198380016192,107.09567347354064,108.22421264648438,4775722,0.0,0.0
2021-02-08,108.96176282229798,110.17027933091077,108.76626594043952,109.84149169921875,6158848,0.0,0.0
2021-02-09,109.76946097174022,110.39979890171404,109.00404395529638,109.94955444335938,4933982,1.558317,0.0
2021-02-10,110.78699882792809,111.1291914929617,109.14811312950391,110.07561492919922,5090673,0.0,0.0
2021-02-11,109.85949550267765,110.04860045994832,108.62583268224773,108.87796783447266,5629154,0.0,0.0
2021-02-12,108.95902369465816,109.28319338471312,108.1395735965279,108.77892303466797,4049275,0.0,0.0
2021-02-16,108.19360084042239,108.59881652426368,107.48221692557345,108.1215591430664,6945231,0.0,0.0
2021-02-17,107.40116434814821,108.56279263149415,107.1760421421538,108.03150939941406,4141219,0.0,0.0
2021-02-18,108.50876732406509,108.9049786718802,107.78837194935898,108.71587371826172,5646413,0.0,0.0
2021-02-19,108.73390014047169,108.74290445474124,106.59974112070294,107.14904022216797,6881320,0.0,0.0
2021-02-22,106.7077992740628,109.076084819403,106.65377338885261,108.83294677734375,6149643,0.0,0.0
2021-02-23,108.88698094911808,109.27418802231739,107.87843307249588,108.6978759765625,4739740,0.0,0.0
2021-02-24,108.77892042844435,111.2012318486692,108.52678525946266,110.9490966796875,6087720,0.0,0.0
2021-02-25,111.0931763351777,111.97565664016527,110.16567445797837,110.2827377319336,5953623,0.0,0.0
2021-02-26,110.08462023398113,110.08462023398113,107.04997965184813,107.09500122070312,9467346,0.0,0.0
2021-03-01,108.37370183770848,110.14766677739877,107.93246886762061,108.72489166259766,5977367,0.0,0.0
2021-03-02,108.72488079005576,109.76945303195035,108.29265217771083,108.35568237304688,4732418,0.0,0.0
2021-03-03,108.50877466248852,110.42680852374714,108.0405215896738,110.18367767333984,7744898,0.0,0.0
2021-03-04,109.85950110139711,110.95809927434098,106.9419237025857,108.15758514404297,8439651,0.0,0.0
2021-03-05,108.63483625346893,111.43535022190864,108.28364646822605,110.60690307617188,7268968,0.0,0.0
2021-03-08,110.7509839562525,114.2268647014797,110.65192931732778,112.3898696899414,7572203,0.0,0.0
2021-03-09,112.92115363455159,113.84865540076973,111.80454691526232,111.82255554199219,5867014,0.0,0.0
2021-03-10,112.60598822804991,115.47854402818417,112.20977685632985,115.1453628540039,7581199,0.0,0.0
2021-03-11,115.34346667852749,115.83873985251208,114.16382974688077,114.48800659179688,5383657,0.0,0.0
2021-03-12,114.5330368692952,114.97427700958038,114.01075790127113,114.91123962402344,4194565,0.0,0.0
2021-03-15,115.05532118986481,115.93779427016655,114.84820759431285,115.78471374511719,3577948,0.0,0.0
2021-03-16,115.514570585179,115.73068849596676,114.66810757022623,115.47854614257812,4867247,0.0,0.0
2021-03-17,115.67664436187907,116.60414611501791,114.80316848816797,116.18992614746094,4488804,0.0,0.0
2021-03-18,116.10888384993395,117.96388741544924,115.0733231186664,117.117431640625,6104142,0.0,0.0
2021-03-19,117.08141666255744,117.45962660601008,115.7396947905804,116.0728759765625,10297870,0.0,0.0
2021-03-22,115.71267070587345,117.71175775342537,115.163378810388,117.55867004394531,4356485,0.0,0.0
2021-03-23,117.45962198743608,118.4681626337747,116.88330996686935,117.47763061523438,4556794,0.0,0.0
2021-03-24,117.91887566063923,118.96344079235752,117.576690159583,117.62171173095703,4189230,0.0,0.0
2021-03-25,117.36057075723575,119.98099146069923,116.85629323321481,119.8279037475586,5809484,0.0,0.0
2021-03-26,120.02601237001932,122.8985682265599,119.87293184392676,122.80852508544922,5823710,0.0,0.0
2021-03-29,122.44831512840099,123.42984997302707,122.0250908364574,122.34026336669922,4835344,0.0,0.0
2021-03-30,122.34026909057094,122.70946751893716,120.68336035436064,121.31370544433594,5010758,0.0,0.0
2021-03-31,121.15160973946963,121.30470462966836,119.50371973965073,119.99899291992188,5172575,0.0,0.0
2021-04-01,120.44924180457943,120.60231514183249,119.10751279067478,119.97197723388672,4261404,0.0,0.0
2021-04-05,120.34117978602907,123.0876607553786,120.12506188417915,122.40328979492188,5722980,0.0,0.0
